Date,BTC,MSTR
2023-04-03,27790.220703125,29.73900032043457
2023-04-04,28168.08984375,29.898000717163086
2023-04-05,28177.984375,29.083999633789062
2023-04-06,28044.140625,29.010000228881836
2023-04-10,29652.98046875,31.277999877929688
2023-04-11,30235.05859375,33.23500061035156
2023-04-12,30139.052734375,32.28300094604492
2023-04-13,30399.06640625,34.071998596191406
2023-04-14,30485.69921875,33.375
2023-04-17,29445.044921875,31.30299949645996
2023-04-18,30397.552734375,32.98500061035156
2023-04-19,28822.6796875,31.472000122070312
2023-04-20,28245.98828125,29.47100067138672
2023-04-21,27276.91015625,29.101999282836914
2023-04-24,27525.33984375,28.533000946044922
2023-04-25,28307.59765625,29.090999603271484
2023-04-26,28422.701171875,29.945999145507812
2023-04-27,29473.787109375,31.86400032043457
2023-04-28,29340.26171875,32.8380012512207
2023-05-01,28091.568359375,30.746999740600586
2023-05-02,28680.537109375,32.80099868774414
2023-05-03,29006.30859375,30.424999237060547
2023-05-04,28847.7109375,31.224000930786133
2023-05-05,29534.384765625,32.672000885009766
2023-05-08,27694.2734375,29.466999053955078
2023-05-09,27658.775390625,30.343000411987305
2023-05-10,27621.755859375,31.51099967956543
2023-05-11,27000.7890625,28.73699951171875
2023-05-12,26804.990234375,27.100000381469727
2023-05-15,27192.693359375,28.25
2023-05-16,27036.650390625,27.3439998626709
2023-05-17,27398.802734375,29.05699920654297
2023-05-18,26832.208984375,28.757999420166016
2023-05-19,26890.12890625,28.827999114990234
2023-05-22,26851.27734375,29.41200065612793
2023-05-23,27225.7265625,28.933000564575195
2023-05-24,26334.818359375,28.44300079345703
2023-05-25,26476.20703125,28.099000930786133
2023-05-26,26719.291015625,28.510000228881836
2023-05-30,27702.349609375,29.927000045776367
2023-05-31,27219.658203125,30.163000106811523
2023-06-01,26819.97265625,29.993999481201172
2023-06-02,27249.58984375,30.21299934387207
2023-06-05,25760.09765625,27.63599967956543
2023-06-06,27238.783203125,29.881999969482422
2023-06-07,26345.998046875,29.08099937438965
2023-06-08,26508.216796875,29.093000411987305
2023-06-09,26480.375,28.232999801635742
2023-06-12,25902.5,27.770000457763672
2023-06-13,25918.728515625,28.381999969482422
2023-06-14,25124.67578125,28.288000106811523
2023-06-15,25576.39453125,27.79199981689453
2023-06-16,26327.462890625,29.339000701904297
2023-06-20,28327.48828125,31.34000015258789
2023-06-21,30027.296875,33.13100051879883
2023-06-22,29912.28125,32.722999572753906
2023-06-23,30695.46875,32.9109992980957
2023-06-26,30271.130859375,30.573999404907227
2023-06-27,30688.1640625,32.487998962402344
2023-06-28,30086.24609375,32.56100082397461
2023-06-29,30445.3515625,34.0260009765625
2023-06-30,30477.251953125,34.242000579833984
2023-07-03,31156.439453125,37.784000396728516
2023-07-05,30514.166015625,37.81100082397461
2023-07-06,29909.337890625,37.654998779296875
2023-07-07,30342.265625,38.07400131225586
2023-07-10,30414.470703125,40.770999908447266
2023-07-11,30620.951171875,41.22999954223633
2023-07-12,30391.646484375,41.3489990234375
2023-07-13,31476.048828125,46.18299865722656
2023-07-14,30334.068359375,45.88600158691406
